queried_sp_name,sp_name,itis,itis_reason,itis_tsn,gnr_score,gnr_source
Silene halli,Silene hallii,not accepted,synonym,521504,0.75,Catalogue of Life
Silene halli,Silene scouleri ssp. hallii,accepted,NA,20120,NA,NA
Leucanthemum vulgare,Leucanthemum vulgare,accepted,NA,37903,0.988,Catalogue of Life
Lotus corniculatus,Lotus corniculatus,accepted,NA,26362,0.988,NCBI
Lathyrus pratensis,Lathyrus pratensis,accepted,NA,25874,0.988,NCBI
Vicia cracca,Vicia cracca,accepted,NA,26335,0.988,NCBI
Hypochoeris radicata,Hypochoeris radicata,NA,NA,NA,0.988,EOL
Ranunculus acris,Ranunculus acris,accepted,NA,18583,0.988,Catalogue of Life
Trifolium dubium,Trifolium dubium,accepted,NA,26205,0.988,NCBI
Prunella vulgaris,Prunella vulgaris,accepted,NA,32381,0.988,NCBI
Centaurea nigra,Centaurea nigra,accepted,NA,36968,0.988,Catalogue of Life
Trifolium repens,Trifolium repens,accepted,NA,26206,0.988,NCBI
Vicia sativa,Vicia sativa,accepted,NA,26355,0.988,NCBI
Lychnis flos-cuculi,Lychnis flos-cuculi,not accepted,synonym,20309,0.988,Freebase
Lychnis flos-cuculi,Silene flos-cuculi,accepted,NA,521501,0.988,NCBI
Plantago lanceolata,Plantago lanceolata,accepted,NA,32874,0.988,Catalogue of Life
Trifolium pratense,Trifolium pratense,accepted,NA,26313,0.988,NCBI
Cirsium arvense,Cirsium arvense,accepted,NA,36335,0.988,NCBI
Cirsium palustre,Cirsium palustre,accepted,NA,36394,0.988,NCBI
Filipendula ulmaria,Filipendula ulmaria,accepted,NA,25171,0.988,Catalogue of Life
Galium verum,Galium verum,accepted,NA,34936,0.988,NCBI
Primula veris,Primula veris,accepted,NA,24035,0.988,Catalogue of Life
Orchis morio,Orchis morio,accepted,NA,894643,0.988,EOL
Cerastium fontanum,Cerastium fontanum,accepted,NA,19954,0.988,Catalogue of Life
Echium wildpretii,Echium wildpretii,NA,NA,NA,0.988,Catalogue of Life
Pimpinella cumbrae,Pimpinella cumbrae,NA,NA,NA,0.988,uBio NameBank
Pterocephalus lasiospermus,Pterocephalus lasiospermus,NA,NA,NA,0.988,NCBI
Mentha longifolia,Mentha longifolia,not accepted,misapplied,32269,0.988,NCBI
Mentha longifolia,Mentha spicata,accepted,NA,32272,0.988,NCBI
Erysimum scoparium,Erysimum scoparium,NA,NA,NA,0.988,NCBI
